text,correct,predicted_native_language
"Beacause the exception ,most biggest Smatora Ireland M9.3 , was itself but I can't find relation.","I researched this for a while, but because of this one exception I was unable to find the connection.",Spanish
"At that place, we can spend time as much as we can to enjoy playing badminton without exception which will not happen in working time.",We can always spend as much time as we want there and enjoy playing badminton without restriction.,Spanish
Because she has an interview of the entrance exam to the high school next Monday!,"she has an interview for the entrance exam to high school next Monday! (To use 'because', you would have to connect the two sentences ""We are afraid his flu might infect my daughter because she has an interview for the entrance exam into high school next Monday!"")",Spanish
"Besides, the one of most characterization is the enthusiasm of local residents, and we welcome any visitors to come here.",One of Kaohsiung's best characteristics is the enthusiasm of the local people; we welcome all visitors.,Spanish
I would like to comment on the article about the work camp in Kirby on 23rd February.,"I would like to comment on the (February 23rd) article (which came out on the 23rd of February) about the work camp in Kirby . (I thought it might be better to put the date closer to 'article', so it isn't associated with the work camp, so I offered two suggestions, but the original sentence is not incorrect.)",Spanish
"At first, i wanna introduce myself.","At first, I want to introduce myself. Always use a capital ""I"" for I. Also, ""wanna"" is very bad writing style. Many people learning English seem to write this, but it's not a good thing to do.",Spanish
But we dont get in touch now.,"Unfortunately we don't keep in touch anymore. (It is usually considered bad grammar to start a sentence with ""But"" and ""So"". ""But"" is used as a conjunction in English e.g. ""I consider myself a vegetarian, but I still eat eggs."" another example ""I think I have two, excluding my girlfriend of course, but we don't keep in touch anymore."")",Spanish
I wanna know which sentences are curious or which part of my sentences configuration is strange.,"I want to know which sentences are confusing or which part of my sentence's configuration is strange. (It's best not to use ""wanna"" since ""wanna"" is considered a slang word in America. It's fine to use it with friends or informal use (such as texting IMing, e-mails, etc...), but if you are (let's say...) writing a college paper, use ""wanna."" It makes you sound unruly and uneducated, alright? Also, ""curious"" means you are wondering something that you don't know of. A better word would be ""confusing"" since curious relates more to emotions and personality. Confusing means something you are not sure about. For example: ""Miya curiously searched through the drawers"" or ""Tom was curious about how his friend knew he had broke up."" For the word confusing, you could say, ""The book's text was confusing to me."" Do you see the difference here?)",Spanish
4a) China's economiy is gaining strength which continues to increase its levels of exports.,"4a) China's economy is gaining strength, which continues to increase its levels of exports. There is a huge difference between 4 and 4a. 4 means that there may not be any connection between ""China's economy"" and ""continues to increase its exports"". 4a makes it seem like ""because China is gaining economical strength it is increasing its exports.""",Spanish
"i am a new face on lang-8,i am a chinese who want to learn enghlish ,now i lived in beijing,my mandarin is good enough,if you want to learn chinese,i would like to chat with you and help you do my best,and i wish i can know more and more friends on here ,we can learn language together,and talk some interesting things together,like,literature,music,society or history,and so so.","I am a new face on lang-8. I am a Chinese person who wants to learn English. I currently live in Beijing. I am fluent in Mandarin, so if you want to learn Chinese, I can chat with you and do my best to help you. I hope I can meet new friends here. We can learn language together, and talk about interesting things like literature, music, society or history.",Spanish
