text,correct,predicted_native_language
"Nowdays i learn English at English academy , so i conversation with native speaker!","I just started learning English at an English academy, hence i get to converse with native speakers/with a native speaker.",Chinese (Mandarin)
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,Chinese (Mandarin)
"I suppose Japan decide to make new relationship, between US and China.","I suppose Japan is trying to change its relationships with the US and China. [The reason ""US"" needs to be preceded by ""the"" is that it stands for the noun phrase ""united states.""]",Chinese (Mandarin)
"That is a poplular ""simulation love game"".","That is a poplular ""dating simulation game."" [You could also combine these two sentences as follows: They are ""otaku"" who are enthusiastic about a dating simulation game called ""Loveplus.""]",Chinese (Mandarin)
Thanks god it's Friday.,Thank God it's Friday. [Usually one says this when one feels like the work week has gone slowly-- so this seems strange in combination with the previous sentence.],Chinese (Mandarin)
"They started hiring together with preparations to launch, not if they've launched them first and then started hiring)",I was impressed that hiring was part of the launch process and not left until post-launch.,Chinese (Mandarin)
I study in university and major in Bioenviromental System engineering.,"I study at university and major in Bioenvironmental System engineering. [It sounds weird, but most people would say 'I study university.']",Chinese (Mandarin)
Would you tell me what you like kind of confectionery and eating with your correction?,Please comment to let me know what kinds of confectionary/snacks you prefer.,Chinese (Mandarin)
It's a well-known story in Japan when go to other country.,"It's a well-known story in Japan, told when you go to another country: (I had problems guessing your intention in this sentence, so I assumed you wanted to tell, that this story is told to people going to foreign countrys)",Chinese (Mandarin)
About 6 dollars U.,"Since people in the US think in USD, i'll put it in terms you understand. This fruit is now worth more than your house.",Chinese (Mandarin)
"If I buy it in a foreign country, It may be cheaper than Japan.","If I bought a Star fruit overseas, would probably be a bit cheaper.",Chinese (Mandarin)
Do you know that?,"Do you know that? ""Have you heard about it?""is a better phrase.",Chinese (Mandarin)
Today I learned writing documents in business.,"Today I learned documents in business.(If you mean you learned to write them in a Business class, capitalize Business. If you mean documents for business, change it to ""business documents."")",Chinese (Mandarin)
"Before the test, I have to ready many materials for student.","Before the test, I have to make ready many materials for the students. You can also use: I have to prepare many materials for the students. Also, ""I have to ready something"", is usually used in the context of preparing a machine or contraption. Eg. I have to ready the car for the trip tomorrow.",Chinese (Mandarin)
My collegue says that the situation in the movies happens really.,"My collegue says that the situations in the movies might really happen. (you can also say ""My colleague says that whatyou see in the movies might really happen"")",Chinese (Mandarin)
"Now, I've made many friends.","Now, I have many friends and I exchange a lot of emails with them.",Chinese (Mandarin)
There are many actors who acted the James Bond.,many actors James Bond.Many actors have acted as James Bond.,Chinese (Mandarin)
"Writing ""u"" instead of ""you"" ,""cuz"" instead of ""because"",yr instead of ""your"" is bad habit catched from american people,cant help it.","Writing ""u"" instead of ""you"" , ""cuz"" instead of ""because"" and ""yr"" instead of ""your"" is a bad habit which I caught from the Americans. I can't help it.",Chinese (Mandarin)
"There were many people who flattered Japan and when Japanese chased the patriots, some traitors helped Japanese.",Not quite 100% sure what you mean in this one.,Chinese (Mandarin)
"There were lots of green, pink and purple colours in the mountains.","There were lots of green, pink and purple colours in the mountains.note: In American English spelling there is no ""u"" in color. However there is in British. Just wanted you to know. The same goes for a few other like-spelled words.",Chinese (Mandarin)
"I have a question, About A word ""Rubbish"" When Jeremy Clarkson is blaming his disliked car.","I have a question, about the word ""Rubbish"", which is used by Jeremy Clarkson (when he is talking about a car he dislikes)",Chinese (Mandarin)
Best wishes for him ...,"Usually, one would use ""Best wishes to him"". For example, on Christmas cards, you can sometimes see the sentence ""Best wishes to you and your family."".",Chinese (Mandarin)
"Fuji which is now capped with snow, and the other mountains colored various colors of fall leaves.","Fuji which is now capped with snow, and the other mountains coloured various colours of the fall leaves. In Canada, England, Australia (and other Commonwealth countries), ""colours"" is spelt with a ""u"". However, the way you have it is also correct (American English).",Chinese (Mandarin)
They are lead to invade the turf of some other sweetfish of target and the invaded one attack the decoy to be hooked.,"I had a bit of trouble understanding your sentence, so I tried correcting according to what I understood: The decoy fish are put into the territory of the targeted sweetfish, so that the targeted sweetfish will attack the decoy and be hooked.",Chinese (Mandarin)
I will have short sleep and drive there by 3 am.,"I will have a short sleep and then drive there at 3 am. Usually, when you use ""by"" for a time expression, it means that we have to be somewhere by a certain time. Eg. ""I have to be at the marathon starting site by 3 am.""",Chinese (Mandarin)
It is another difficulty for us to go to Singapore.,"It is another difficulty for us to go to Singapore. (Technically correct, but sounds a bit awkward. You could try ""it adds to the difficulty of getting there"" or ""Adding to our problems, a volcano...""",Chinese (Mandarin)
"If added some paid holiday, we have long holidays from today to next next Monday.","If we also takesome paid holidays, we can have a long holiday from today to Monday.",Chinese (Mandarin)
I asked his favor to lend it to me.,"I accepted his offer, and I was able to walk home with an umbrella.",Chinese (Mandarin)
"It will be held in April 25th, 2010.","It will be held on April 25th, 2010. (If you are just saying the month you can say ""in April"" or ""in July."" If you are saying the month and the say you will want to say ""on April 25th,"" or ""on July 3rd."")",Chinese (Mandarin)
I can write with them more smoothly than with ballpoint pens with the viscous oil-based ink.,I can write with them more smoothly than I can with ballpoint pens because of the viscous oil-based ink.comparisons are tricky. You have to compare nouns with nouns and verbs with verbs.,Chinese (Mandarin)
"Because boss B closed our company if even you who were calm were angry at me, boss B said that I forgave your the opinion.",Boss B closed the company and said said he forgave my opinion. (???),Chinese (Mandarin)
